Transaction_ID,Date,Shop,Location,Staff,Business Type,Item,Category,Weight,Karat,Making,Sales,Cost,Profit
1040,4/14/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Bracelet,5.93,22K,131.44,2264.76,1593.6875,671.0725
1041,3/16/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,7.83,22K,66.57,2685.71,2080.8225,604.8875
1042,3/16/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Locket,1.93,22K,68.7,714.29,528.3375,185.9525
1043,3/8/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,2.16,22K,142.38,847.62,580.5,267.12
1044,4/27/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,2.06,22K,122.99,885.71,561.865,323.845
1045,4/27/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,-1.59,22K,-76.38,-666.67,436.0575,-230.6125
1046,4/20/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,1.59,22K,76.38,666.67,436.0575,230.6125
1047,3/21/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,16.16,22K,248.16,5714.28,4375.32,1338.96
1048,3/25/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Rings,3.4,22K,93.9,1237.15,927.35,309.8
1049,4/21/2025,Alras,UAE,BABY JEAN-386,Retail,22K,BANGLE,12.23,22K,68.54,4676.19,3244.0075,1432.1825
1050,4/21/2025,Alras,UAE,BABY JEAN-386,Retail,22K,BANGLE,12.07,22K,43.1,4590.47,3201.5675,1388.9025
1051,4/21/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Bangle,9.48,22K,228.41,3800,2633.07,1166.93
1052,4/21/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Locket,0.95,22K,46.85,404.76,258.6375,146.1225
1053,4/21/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Bangle,9.25,22K,224.58,3709.52,2569.1875,1140.3325
1054,4/21/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,2.88,22K,95.91,1180.95,765.36,415.59
1055,4/2/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,3.86,22K,29.1,1371.42,1025.795,345.625
1056,4/2/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Locket,0.97,22K,26.49,363.81,264.0825,99.7275
1057,4/2/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,3.36,22K,89.66,1258.1,911.4,346.7
1058,4/2/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Locket,0.95,22K,28.69,359.05,258.6375,100.4125
1059,3/30/2025,Alras,UAE,BABY JEAN-386,Retail,22K,EARRING,5.4,22K,131.52,1990.47,1472.85,517.62
1060,3/31/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Chain,6.01,22K,3.5,2090.47,1597.1575,493.3125
1061,4/20/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,3.35,22K,51.55,1295.24,903.6625,391.5775
1062,4/20/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,-3.1,22K,-111.7,-1257.15,836.225,-420.925
1063,4/20/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,2.39,22K,122.24,1009.53,655.4575,354.0725
1064,4/20/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,1.34,22K,83.48,580.96,364.145,216.815
1065,4/29/2025,Alras,UAE,BABY JEAN-386,Retail,22K,CHAIN,6.08,22K,122.96,2369.52,1643.12,726.4
1066,4/29/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,1.91,22K,75.2,780.95,519.0425,261.9075
1067,4/30/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Locket,1.48,22K,77.69,623.81,402.93,220.88
1068,3/14/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,3.6,22K,123.47,1328.57,969.3,359.27
1069,3/27/2025,Alras,UAE,BABY JEAN-386,Retail,22K,Ring,1.46,22K,76.85,571.43,395.295,176.135
1070,3/31/2025,Alras,UAE,BABY JEAN-386,Retail,22K,BRACELET,9.26,22K,184.72,3409.52,2502.515,907.005
